name,source,source_book,best_candidate,similarity
Allegro,CAd,Complete Adventurer,hallow,0.615
Bladeweave,CAd,Complete Adventurer,slime wave,0.6
Bloodhound,CAd,Complete Adventurer,bestow wound,0.545
"Haste, Swift",CAd,Complete Adventurer,haste. swift,0.917
ProtÃ©gÃ©,CAd,Complete Adventurer,protégé,0.625
War Cry,CAd,Complete Adventurer,warcry,0.923
Chameleon,CArc,Complete Arcane,charm person,0.667
Fist of Stone,CArc,Complete Arcane,hail of stone,0.769
Otiluke's Dispelling Screen,CArc,Complete Arcane,otiluke's dissolving screen,0.889
Otiluke's Greater Dispelling Screen,CArc,Complete Arcane,otiluke's dissolving screen,0.774
Shadow Binding,CArc,Complete Arcane,binding,0.667
Dream Sight,CDiv,Complete Divine,devil sight,0.727
Maelstrom,CDiv,Complete Divine,melt,0.615
Miasma,CDiv,Complete Divine,magnetism,0.533
Stalwart Pact,CDiv,Complete Divine,stalwart path,0.923
Corrupt Weapon,DMG,Dungeon Master's Guide v.3.5,disrupting weapon,0.71
Alter Fortune,PHB2,Player's Handbook II,alter self,0.609
Animalistic Power,PHB2,Player's Handbook II,axiomatic water,0.688
"Animalistic Power, Mass",PHB2,Player's Handbook II,"charm person, mass",0.585
As the Frost,PHB2,Player's Handbook II,ray of frost,0.667
Baleful Blink,PHB2,Player's Handbook II,soul link,0.636
Bigby's Disrupting Hand,PHB2,Player's Handbook II,disrupting weapon,0.65
Bigby's Helpful Hand,PHB2,Player's Handbook II,mage's faithful hound,0.585
Bigby's Striking Fist,PHB2,Player's Handbook II,obscuring mist,0.571
Bigby's Tripping Hand,PHB2,Player's Handbook II,grasping hand,0.647
Bigby's Warding Hand,PHB2,Player's Handbook II,burning hands,0.606
Black Karma Curse,PHB2,Player's Handbook II,black tentacles,0.562
Blade Brothers,PHB2,Player's Handbook II,blade barrier,0.741
Blade of Blood,PHB2,Player's Handbook II,oath of blood,0.741
Bleakness,PHB2,Player's Handbook II,bless,0.714
Blessing of the Righteous,PHB2,Player's Handbook II,breath of the night,0.636
Blinding Color Surge,PHB2,Player's Handbook II,blinding glory,0.706
Blood Creepers,PHB2,Player's Handbook II,hold person,0.56
Bones of the Earth,PHB2,Player's Handbook II,zone of truth,0.71
Bright Worms,PHB2,Player's Handbook II,cure light wounds,0.621
Burning Rage,PHB2,Player's Handbook II,burning hands,0.72
Call of Stone,PHB2,Player's Handbook II,wall of stone,0.923
Celerity,PHB2,Player's Handbook II,teleport,0.625
"Celerity, Greater",PHB2,Player's Handbook II,"teleport, greater",0.824
"Celerity, Lesser",PHB2,Player's Handbook II,"orb of electricity, lesser",0.714
Chain Dispel,PHB2,Player's Handbook II,reaving dispel,0.769
Channeled Divine Health,PHB2,Player's Handbook II,channel celestial,0.55
Channeled Divine Shield,PHB2,Player's Handbook II,cacophonic shield,0.55
Channeled Pyroburst,PHB2,Player's Handbook II,emerald burst,0.562
Chasing Perfection,PHB2,Player's Handbook II,astral projection,0.629
Cloud of Knives,PHB2,Player's Handbook II,sword of darkness,0.625
Condemnation,PHB2,Player's Handbook II,contagion,0.667
Crown of Clarity,PHB2,Player's Handbook II,crown of glory,0.8
Crown of Might,PHB2,Player's Handbook II,curtain of light,0.733
Crown of Protection,PHB2,Player's Handbook II,moment of prescience,0.615
Crown of Smiting,PHB2,Player's Handbook II,crown of brilliance,0.686
Crown of the Grave,PHB2,Player's Handbook II,chill of the grave,0.778
Crown of Veils,PHB2,Player's Handbook II,crown of flame,0.714
Crushing Grip,PHB2,Player's Handbook II,rusting grasp,0.769
Curse of Arrow Attraction,PHB2,Player's Handbook II,curse water,0.556
Deflect,PHB2,Player's Handbook II,desecrate,0.625
"Deflect, Lesser",PHB2,Player's Handbook II,"geas, lesser",0.667
Detonate,PHB2,Player's Handbook II,levitate,0.625
Dimension Hop,PHB2,Player's Handbook II,dimension door,0.815
Dimension Shuffle,PHB2,Player's Handbook II,dimensional lock,0.667
Dimension Step,PHB2,Player's Handbook II,dimension door,0.714
Dispelling Touch,PHB2,Player's Handbook II,dispelling breath,0.788
Divine Retaliation,PHB2,Player's Handbook II,divine inspiration,0.722
Doom Scarabs,PHB2,Player's Handbook II,iron scarf,0.545
Dragonshape,PHB2,Player's Handbook II,dragonsight,0.727
Drifts of the Shalm,PHB2,Player's Handbook II,kiss of the vampire,0.632
Electric Vengeance,PHB2,Player's Handbook II,deific vengeance,0.765
"Electric Vengeance, Greater",PHB2,Player's Handbook II,"scrying, greater",0.651
Energy Aegis,PHB2,Player's Handbook II,energy drain,0.75
Energy Surge,PHB2,Player's Handbook II,energy ebb,0.727
"Energy Surge, Greater",PHB2,Player's Handbook II,"arcane sight, greater",0.667
"Energy Surge, Lesser",PHB2,Player's Handbook II,"geas, lesser",0.625
Energy Vulnerability,PHB2,Player's Handbook II,vulnerability,0.788
"Etherealness, Swift",PHB2,Player's Handbook II,etherealness,0.774
Evard's Menacing Tentacles,PHB2,Player's Handbook II,chilling tentacles,0.636
Explosive Rune Field,PHB2,Player's Handbook II,explosive runes,0.8
Field of Resistance,PHB2,Player's Handbook II,spell resistance,0.743
Friend to Foe,PHB2,Player's Handbook II,end to strife,0.692
Halt,PHB2,Player's Handbook II,heal,0.75
Healing Spirit,PHB2,Player's Handbook II,healing touch,0.667
Hesitate,PHB2,Player's Handbook II,levitate,0.75
Hunter's Eye,PHB2,Player's Handbook II,sniper's eye,0.75
Incite Riot,PHB2,Player's Handbook II,spiritual chariot,0.571
Increase Virulence,PHB2,Player's Handbook II,resurgence,0.571
Inevitable Defeat,PHB2,Player's Handbook II,vile death,0.667
Insight of Good Fortune,PHB2,Player's Handbook II,curse of ill fortune,0.605
Invest Heavy Protection,PHB2,Player's Handbook II,astral projection,0.65
Invest Light Protection,PHB2,Player's Handbook II,astral projection,0.65
Invest Moderate Protection,PHB2,Player's Handbook II,astral projection,0.651
Kelgore's Fire Bolt,PHB2,Player's Handbook II,hellrime blast,0.545
Kelgore's Grave Mist,PHB2,Player's Handbook II,reverse gravity,0.571
Legion of Sentinels,PHB2,Player's Handbook II,rain of needles,0.588
Linked Perception,PHB2,Player's Handbook II,divine inspiration,0.571
"Longstrider, Mass",PHB2,Player's Handbook II,longstrider,0.786
Luminous Assassin,PHB2,Player's Handbook II,luminous armor,0.645
"Luminous Assassin, Greater",PHB2,Player's Handbook II,"luminous armor, greater",0.776
"Luminous Assassin, Lesser",PHB2,Player's Handbook II,"luminous armor, greater",0.625
Magic Convalescence,PHB2,Player's Handbook II,magic vestment,0.667
Mana Flux,PHB2,Player's Handbook II,mantle of evil,0.522
Mark of Doom,PHB2,Player's Handbook II,wail of doom,0.75
Mark of Judgment,PHB2,Player's Handbook II,mark of justice,0.71
Melf's Unicorn Arrow,PHB2,Player's Handbook II,mage's disjunction,0.526
Meteoric Strike,PHB2,Player's Handbook II,critical strike,0.667
"Mirror Image, Greater",PHB2,Player's Handbook II,mirror image,0.727
Mystic Aegis,PHB2,Player's Handbook II,magic fang,0.545
Mystic Surge,PHB2,Player's Handbook II,tidal surge,0.696
Overwhelm,PHB2,Player's Handbook II,move earth,0.526
Phantom Battle,PHB2,Player's Handbook II,phantom bear,0.769
Plague,PHB2,Player's Handbook II,insect plague,0.632
Prismatic Mist,PHB2,Player's Handbook II,prismatic spray,0.759
Pulse of Hate,PHB2,Player's Handbook II,cloak of hate,0.692
Radiance,PHB2,Player's Handbook II,resistance,0.667
Ray of the Python,PHB2,Player's Handbook II,lay of the land,0.688
Regroup,PHB2,Player's Handbook II,earthen grasp,0.5
Renewed Vigor,PHB2,Player's Handbook II,vigor,0.556
Righteous Burst,PHB2,Player's Handbook II,righteous smite,0.8
Rouse,PHB2,Player's Handbook II,erase,0.6
Scattering Trap,PHB2,Player's Handbook II,rusting grasp,0.643
Seeking Ray,PHB2,Player's Handbook II,scorching ray,0.667
Share Talents,PHB2,Player's Handbook II,sheltered vitality,0.581
Slashing Dispel,PHB2,Player's Handbook II,reaving dispel,0.759
Sonic Shield,PHB2,Player's Handbook II,cacophonic shield,0.759
Stand,PHB2,Player's Handbook II,sustain,0.667
Stay the Hand,PHB2,Player's Handbook II,lay of the land,0.714
Stifle Spell,PHB2,Player's Handbook II,antilife shell,0.692
Stretch Weapon,PHB2,Player's Handbook II,ghost touch weapon,0.75
Summon Golem,PHB2,Player's Handbook II,summon swarm,0.667
